inchikey,activity_comment,assay_chembl_id,canonical_smiles,data_validity_comment,document_chembl_id,document_journal,molecule_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_pref_name,type,units,value,isomeric_smiles,np_score,short_inchikey,wikidata_id
GLTIRPIZUGPKCS-KYSPHBLOSA-N,,CHEMBL1285558,Cl.NCCN1C[C@H](Cc2cccc(N)n2)[C@@H](NCCCO)C1,,CHEMBL1275378,J Med Chem,CHEMBL1276967,=,=,Ki,nM,13470.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,13.47,Cl.NCCN1C[C@H](Cc2cccc(N)n2)[C@@H](NCCCO)C1,-0.39090504643945,GLTIRPIZUGPKCS,no_wikidata_match
GMHLRRHIOCDMQV-UHFFFAOYSA-N,,CHEMBL4041165,Cc1cc(CCNCc2ccc3c(C)cc(N)nc3c2)ccc1C#N,,CHEMBL4038342,J Med Chem,CHEMBL4092027,=,=,Ki,nM,4830.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,4.83,Cc1cc(CCNCc2ccc3c(C)cc(N)nc3c2)ccc1C#N,-0.8522297722017362,GMHLRRHIOCDMQV,no_wikidata_match
GMLDOJCIZDOHGB-UHFFFAOYSA-N,,CHEMBL1767575,Cc1cc(N)nc(CCc2ccc3cc(CCc4cc(C)cc(N)n4)ccc3c2)c1,,CHEMBL1764947,J Med Chem,CHEMBL1766628,=,=,Ki,nM,2270.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,nM,2270.0,Cc1cc(N)nc(CCc2ccc3cc(CCc4cc(C)cc(N)n4)ccc3c2)c1,-0.12042158409497,GMLDOJCIZDOHGB,no_wikidata_match
GMPKUJAIMPRORK-UHFFFAOYSA-N,,CHEMBL3801317,CCC(=O)NCCC(=O)c1cc(OC)ccc1N,,CHEMBL3797128,Medchemcomm,CHEMBL370335,=,=,Inhibition,%,0.24,CHEMBL4481,"Nitric oxide synthase, inducible",INH,%,0.24,CCC(=O)NCCC(=O)c1cc(OC)ccc1N,-0.7810161345513055,GMPKUJAIMPRORK,no_wikidata_match
GMRNYYVTWMYQDY-IIKXTNQWSA-N,,CHEMBL993939,Cl.Nc1cccc(C[C@H]2CNC[C@H]2NC[C@@H](N)Cc2ccccc2)n1,,CHEMBL1143351,J Med Chem,CHEMBL482205,=,=,Ki,nM,297000.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,297.0,Cl.Nc1cccc(C[C@H]2CNC[C@H]2NC[C@@H](N)Cc2ccccc2)n1,-0.066839583540512,GMRNYYVTWMYQDY,no_wikidata_match
GMRNYYVTWMYQDY-JTCBYWPXSA-N,,CHEMBL993939,Cl.Nc1cccc(C[C@H]2CNC[C@H]2NC[C@H](N)Cc2ccccc2)n1,,CHEMBL1143351,J Med Chem,CHEMBL482003,=,=,Ki,nM,238000.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,238.0,Cl.Nc1cccc(C[C@H]2CNC[C@H]2NC[C@H](N)Cc2ccccc2)n1,-0.066839583540512,GMRNYYVTWMYQDY,no_wikidata_match
GMRNYYVTWMYQDY-OVHUVXHOSA-N,,CHEMBL1285558,Cl.Nc1cccc(C[C@H]2CNC[C@@H]2NC[C@@H](N)Cc2ccccc2)n1,,CHEMBL1275378,J Med Chem,CHEMBL1277141,=,=,Ki,nM,20570.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,20.57,Cl.Nc1cccc(C[C@H]2CNC[C@@H]2NC[C@@H](N)Cc2ccccc2)n1,-0.066839583540512,GMRNYYVTWMYQDY,no_wikidata_match
GMRNYYVTWMYQDY-UHJKVRLHSA-N,,CHEMBL1285558,Cl.Nc1cccc(C[C@H]2CNC[C@@H]2NC[C@H](N)Cc2ccccc2)n1,,CHEMBL1275378,J Med Chem,CHEMBL1277055,=,=,Ki,nM,13860.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,13.86,Cl.Nc1cccc(C[C@H]2CNC[C@@H]2NC[C@H](N)Cc2ccccc2)n1,-0.066839583540512,GMRNYYVTWMYQDY,no_wikidata_match
GMUCRJMNMMHHFX-UHFFFAOYSA-N,,CHEMBL832169,NC1=NCCCSC1,,CHEMBL1138708,Bioorg Med Chem Lett,CHEMBL186856,=,=,Selectivity,nM,8.8,CHEMBL2111350,Nitric oxide synthase (inducible and endothelial),Selectivity,uM,8.8,NC1=NCCCSC1,-0.7366842489505251,GMUCRJMNMMHHFX,no_wikidata_match
GMXZJOPNIZHAQE-LBPRGKRZSA-N,,CHEMBL699600,N/C(=N\CCC[C@H](N)CNCCc1ccncc1)N[N+](=O)[O-],Outside typical range,CHEMBL1136776,J Med Chem,CHEMBL45243,=,=,Ki,nM,395000.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,395.0,N/C(=N\CCC[C@H](N)CNCCc1ccncc1)N[N+](=O)[O-],-0.0352733940474408,GMXZJOPNIZHAQE,no_wikidata_match
GNKJVGOVADALEV-UHFFFAOYSA-N,,CHEMBL700506,CN1CCCC1COc1ccc(-c2cccc(N)n2)c2ccccc12,,CHEMBL1149107,J Med Chem,CHEMBL42863,=,=,IC50,nM,2850.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,nM,2850.0,CN1CCCC1COc1ccc(-c2cccc(N)n2)c2ccccc12,-0.2213959064866079,GNKJVGOVADALEV,no_wikidata_match
GNPMTDCRJKGIED-UHFFFAOYSA-N,,CHEMBL1018148,COc1ccc(-c2cc(=O)c3ccc(Oc4ccc5oc(-c6ccc(OC)cc6OC)cc(=O)c5c4)cc3o2)c(OC)c1,,CHEMBL1139311,Bioorg Med Chem Lett,CHEMBL447655,>,>,IC50,nM,50000.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,50.0,COc1ccc(-c2cc(=O)c3ccc(Oc4ccc5oc(-c6ccc(OC)cc6OC)cc(=O)c5c4)cc3o2)c(OC)c1,0.1824000753081023,GNPMTDCRJKGIED,no_wikidata_match
GNRMBRQQPWBABU-OIYPRRECSA-N,,CHEMBL4153940,CC(=N)NCc1cccc(CNC(=O)[C@@H](N)[C@@H](C)O)c1.Cl.Cl,,CHEMBL4152230,Eur J Med Chem,CHEMBL4162963,>,>,IC50,nM,10000.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,10.0,CC(=N)NCc1cccc(CNC(=O)[C@@H](N)[C@@H](C)O)c1.Cl.Cl,0.0593026414602363,GNRMBRQQPWBABU,no_wikidata_match
GNRRLACDIBMRGO-MPNRVQBSSA-N,,CHEMBL5046509,COC(=O)[C@H](Cc1ccc(F)cc1)NC(=O)/C=C/c1ccc(Cl)c(Cl)c1,,CHEMBL5046219,J Med Chem,CHEMBL5090181,=,=,Ratio IC50,nM,149.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio IC50,nM,149.0,COC(=O)[C@H](Cc1ccc(F)cc1)NC(=O)/C=C/c1ccc(Cl)c(Cl)c1,-0.7328289223474461,GNRRLACDIBMRGO,no_wikidata_match
GOAQIFIXXGXKFF-UHFFFAOYSA-N,,CHEMBL701146,CC1(C)N=C(N)c2ccccc2N1,,CHEMBL1136724,J Med Chem,CHEMBL173006,=,=,IC50,nM,52000.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,uM,52.0,CC1(C)N=C(N)c2ccccc2N1,-0.1000695421845307,GOAQIFIXXGXKFF,no_wikidata_match
GOZHUVSZDFEZQU-UHFFFAOYSA-N,,CHEMBL700506,CN(C)C1CCN(CCOc2ccc(-c3cccc(N)n3)c3ccccc23)CC1,,CHEMBL1149107,J Med Chem,CHEMBL38762,=,=,IC50,nM,5750.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,nM,5750.0,CN(C)C1CCN(CCOc2ccc(-c3cccc(N)n3)c3ccccc23)CC1,-0.8658852428761072,GOZHUVSZDFEZQU,no_wikidata_match
GPRVPJHTCHPJMT-PHEQNACWSA-N,,CHEMBL1930622,COc1cccc(/C=C/C(=O)c2cc(C(=O)/C=C/c3cccc(OC)c3OC)c(O)cc2O)c1OC,,CHEMBL1926582,Eur J Med Chem,CHEMBL1928924,=,=,IC50,nM,1820.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,1.82,COc1cccc(/C=C/C(=O)c2cc(C(=O)/C=C/c3cccc(OC)c3OC)c(O)cc2O)c1OC,0.2276499166278334,GPRVPJHTCHPJMT,no_wikidata_match
GPVRORSBZUBDJB-DQEYMECFSA-N,359488.0,CHEMBL3374896,N=C(Nc1cccc(COC[C@@H]2C[C@H](OCc3cccc(NC(=N)c4cccs4)c3)CN2)c1)c1cccs1,,CHEMBL3351383,Bioorg Med Chem Lett,CHEMBL3325614,=,=,Ki,nM,2110.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,2.11,N=C(Nc1cccc(COC[C@@H]2C[C@H](OCc3cccc(NC(=N)c4cccs4)c3)CN2)c1)c1cccs1,-0.4425104516958446,GPVRORSBZUBDJB,http://www.wikidata.org/entity/Q27456349
GPVRORSBZUBDJB-JWQCQUIFSA-N,,CHEMBL3374896,N=C(Nc1cccc(COC[C@H]2C[C@@H](OCc3cccc(NC(=N)c4cccs4)c3)CN2)c1)c1cccs1,,CHEMBL3351383,Bioorg Med Chem Lett,CHEMBL3325612,=,=,Ki,nM,1990.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,1.99,N=C(Nc1cccc(COC[C@H]2C[C@@H](OCc3cccc(NC(=N)c4cccs4)c3)CN2)c1)c1cccs1,-0.4425104516958446,GPVRORSBZUBDJB,no_wikidata_match
GPVRORSBZUBDJB-LOSJGSFVSA-N,,CHEMBL3374896,N=C(Nc1cccc(COC[C@@H]2C[C@@H](OCc3cccc(NC(=N)c4cccs4)c3)CN2)c1)c1cccs1,,CHEMBL3351383,Bioorg Med Chem Lett,CHEMBL3325611,=,=,Ki,nM,1110.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,1.11,N=C(Nc1cccc(COC[C@@H]2C[C@@H](OCc3cccc(NC(=N)c4cccs4)c3)CN2)c1)c1cccs1,-0.4425104516958446,GPVRORSBZUBDJB,no_wikidata_match
GPVRORSBZUBDJB-RPBOFIJWSA-N,,CHEMBL3374896,N=C(Nc1cccc(COC[C@H]2C[C@H](OCc3cccc(NC(=N)c4cccs4)c3)CN2)c1)c1cccs1,,CHEMBL3351383,Bioorg Med Chem Lett,CHEMBL3325613,=,=,Ki,nM,1230.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,1.23,N=C(Nc1cccc(COC[C@H]2C[C@H](OCc3cccc(NC(=N)c4cccs4)c3)CN2)c1)c1cccs1,-0.4425104516958446,GPVRORSBZUBDJB,no_wikidata_match
GQFHRKAYWMSFGN-UHFFFAOYSA-N,,CHEMBL3579718,C#CC1(C=C)C=CC(=O)C(C#N)=C1,,CHEMBL3576826,J Med Chem,CHEMBL3577126,=,=,IC50,nM,16.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,nM,16.0,C#CC1(C=C)C=CC(=O)C(C#N)=C1,0.8539033175547691,GQFHRKAYWMSFGN,no_wikidata_match
GSHNOGYRFZEDNR-UHFFFAOYSA-N,,CHEMBL2415802,Cc1cc(N)nc(COc2cccc(OCc3ccncc3)c2)c1,,CHEMBL2413041,Bioorg Med Chem,CHEMBL2414430,=,=,Ki,nM,27123.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,nM,27123.0,Cc1cc(N)nc(COc2cccc(OCc3ccncc3)c2)c1,-0.8378286481624335,GSHNOGYRFZEDNR,no_wikidata_match
GSOHKPVFCOWKPU-UHFFFAOYSA-N,,CHEMBL1664436,CC(=O)C(C)C(C)=O,,CHEMBL1649420,J Med Chem,CHEMBL1650633,=,=,Inhibition,%,7.0,CHEMBL3464,"Nitric oxide synthase, inducible",INH,%,7.0,CC(=O)C(C)C(C)=O,0.3531517725422249,GSOHKPVFCOWKPU,http://www.wikidata.org/entity/Q83111971
GSQNVNNKGMXPOS-NXCSSKFKSA-N,,CHEMBL921238,Cl.N=C(NCCCCCC(=O)N[C@@H]1CN[C@H](C(=O)Nc2ccccc2F)C1)N[N+](=O)[O-],,CHEMBL1143872,Bioorg Med Chem,CHEMBL536091,=,=,IC50,nM,13100.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,13.1,Cl.N=C(NCCCCCC(=O)N[C@@H]1CN[C@H](C(=O)Nc2ccccc2F)C1)N[N+](=O)[O-],-0.9712801992411612,GSQNVNNKGMXPOS,no_wikidata_match
GTHIKOKAACDSFD-DQEYMECFSA-N,359485.0,CHEMBL3887879,N=C(Nc1cccc(COC[C@@H]2NCC[C@@H]2OCc2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1,,CHEMBL3886484,Unknown journal,CHEMBL3948001,=,=,Ki,nM,1990.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,nM,1990.0,N=C(Nc1cccc(COC[C@@H]2NCC[C@@H]2OCc2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1,-0.3667813030330552,GTHIKOKAACDSFD,no_wikidata_match
GTHIKOKAACDSFD-RPBOFIJWSA-N,359486.0,CHEMBL3887879,N=C(Nc1cccc(COC[C@H]2NCC[C@@H]2OCc2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1,,CHEMBL3886484,Unknown journal,CHEMBL4114057,=,=,Ki,nM,1110.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,nM,1110.0,N=C(Nc1cccc(COC[C@H]2NCC[C@@H]2OCc2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1,-0.3667813030330552,GTHIKOKAACDSFD,no_wikidata_match
GTHIKOKAACDSFD-UHFFFAOYSA-N,359487.0,CHEMBL3887879,N=C(Nc1cccc(COCC2NCCC2OCc2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1,,CHEMBL3886484,Unknown journal,CHEMBL3986084,=,=,Ki,nM,2110.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,nM,2110.0,N=C(Nc1cccc(COCC2NCCC2OCc2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1,-0.3667813030330552,GTHIKOKAACDSFD,no_wikidata_match
GTLJSJNKRLFVSJ-UHFFFAOYSA-N,,CHEMBL878597,NC1=NCCCCC1,,CHEMBL1129751,J Med Chem,CHEMBL315857,=,=,IC50,nM,2000.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,uM,2.0,NC1=NCCCCC1,0.1735540352402875,GTLJSJNKRLFVSJ,no_wikidata_match
GUARKOVVHJSMRW-UHFFFAOYSA-N,,CHEMBL1664436,CCC(C(C)=O)C(C)=O,,CHEMBL1649420,J Med Chem,CHEMBL1650634,=,=,Inhibition,%,-1.0,CHEMBL3464,"Nitric oxide synthase, inducible",INH,%,-1.0,CCC(C(C)=O)C(C)=O,0.195729211153811,GUARKOVVHJSMRW,http://www.wikidata.org/entity/Q63393699
GVFOIXTVPJBFRA-LBPRGKRZSA-N,,CHEMBL840781,N=C(NCCC[C@H](N)CNc1ccccc1CCN)N[N+](=O)[O-],,CHEMBL1145940,J Med Chem,CHEMBL297372,=,=,Selectivity,nM,70.2,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,uM,70.2,N=C(NCCC[C@H](N)CNc1ccccc1CCN)N[N+](=O)[O-],-0.0106750637115348,GVFOIXTVPJBFRA,no_wikidata_match
GVRZLCAYCZTYBS-MMJUFICTSA-N,,CHEMBL1649018,C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=C(C(=O)C[C@]12C)[C@@]1(C)CC[C@@H](O)[C@@H](C)[C@@H]1C[C@@H]3O)C(C)C(=O)O,,CHEMBL1641547,Bioorg Med Chem,CHEMBL1641965,=,=,IC50,nM,15700.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,15.7,C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=C(C(=O)C[C@]12C)[C@@]1(C)CC[C@@H](O)[C@@H](C)[C@@H]1C[C@@H]3O)C(C)C(=O)O,3.1681277348536447,GVRZLCAYCZTYBS,http://www.wikidata.org/entity/Q27138642
GVTRYBJMAVPTHT-UHFFFAOYSA-N,,CHEMBL4032164,CNCc1cccc(-c2cc(F)cc(CCc3cc(C)cc(N)n3)c2)c1,,CHEMBL4028887,J Med Chem,CHEMBL4062639,=,=,Ki,nM,3012.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,nM,3012.0,CNCc1cccc(-c2cc(F)cc(CCc3cc(C)cc(N)n3)c2)c1,-0.5593790099405616,GVTRYBJMAVPTHT,no_wikidata_match
GVVLUDXSKQBLBI-UHFFFAOYSA-N,,CHEMBL4032164,CNCc1ccc(-c2cc(F)cc(CCc3cc(C)cc(N)n3)c2)cc1,,CHEMBL4028887,J Med Chem,CHEMBL4061573,=,=,Ki,nM,10883.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,nM,10883.0,CNCc1ccc(-c2cc(F)cc(CCc3cc(C)cc(N)n3)c2)cc1,-0.5259828001808693,GVVLUDXSKQBLBI,no_wikidata_match
GWSFKOTWSDKFRJ-UHFFFAOYSA-N,,CHEMBL702717,N/C(=N/CCCC(N)[PH](=O)O)N[N+](=O)[O-],,CHEMBL1129234,Bioorg Med Chem Lett,CHEMBL6573,>,>,IC50,nM,100000.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,100.0,N/C(=N/CCCC(N)[PH](=O)O)N[N+](=O)[O-],0.2988968332339066,GWSFKOTWSDKFRJ,no_wikidata_match
GXBAVPWCNHSDRH-WMQZXYHMSA-N,,CHEMBL1763068,Cc1ccc(C#N)c(S[C@H](CCN)c2ccccc2)n1.O=C(O)/C=C/C(=O)O,,CHEMBL1759901,Bioorg Med Chem Lett,CHEMBL1762480,=,=,Ratio IC50,nM,28.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio IC50,uM,28.0,Cc1ccc(C#N)c(S[C@H](CCN)c2ccccc2)n1.O=C(O)/C=C/C(=O)O,-0.6036196800052964,GXBAVPWCNHSDRH,no_wikidata_match
GYUIEANXINMMDK-UHFFFAOYSA-N,,CHEMBL3579718,C#CC12C=C(C#N)C(=O)C=C1c1c(Cl)cccc1C2,,CHEMBL3576826,J Med Chem,CHEMBL3577136,=,=,IC50,nM,800.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,nM,800.0,C#CC12C=C(C#N)C(=O)C=C1c1c(Cl)cccc1C2,0.1738879268032105,GYUIEANXINMMDK,no_wikidata_match
GZEYLONZCOQGSQ-JUOYHRLASA-N,,CHEMBL993939,Cc1cc(C[C@H]2CNC[C@H]2NCCNCc2ccc(Cl)cc2)cc(N)n1.Cl,Outside typical range,CHEMBL1143351,J Med Chem,CHEMBL481420,=,=,Ki,nM,232000.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,232.0,Cc1cc(C[C@H]2CNC[C@H]2NCCNCc2ccc(Cl)cc2)cc(N)n1.Cl,-0.1604086953889592,GZEYLONZCOQGSQ,no_wikidata_match
HACQZEHXKZTINR-UHFFFAOYSA-N,,CHEMBL2215019,CC1CC(N2CCc3cc(NC(=N)c4cccs4)ccc32)CCN1.Cl.Cl,Outside typical range,CHEMBL2203205,Eur J Med Chem,CHEMBL3142586,=,=,Ratio IC50,nM,2.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio IC50,uM,2.0,CC1CC(N2CCc3cc(NC(=N)c4cccs4)ccc32)CCN1.Cl.Cl,-0.8420115482035346,HACQZEHXKZTINR,no_wikidata_match
HAGVBOVZONYHRE-UHFFFAOYSA-N,,CHEMBL847293,CC1CN=C(N)C1.Cl,,CHEMBL1131100,J Med Chem,CHEMBL541090,=,=,Ratio,nM,4.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,uM,4.0,CC1CN=C(N)C1.Cl,1.0109190076514,HAGVBOVZONYHRE,no_wikidata_match
HAMNKKUPIHEESI-UHFFFAOYSA-N,,CHEMBL848735,N=C(N)NN,Outside typical range,CHEMBL1133138,Bioorg Med Chem Lett,CHEMBL225304,=,=,Selectivity,%,5.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,%,5.0,N=C(N)NN,-0.3659585505913,HAMNKKUPIHEESI,http://www.wikidata.org/entity/Q409583
HAQSFXWPRNSFLH-UHFFFAOYSA-N,,CHEMBL3738626,CN(C)Cc1ccc(OCc2ccc3ccc(N)nc3c2)cc1.Cl.Cl,Outside typical range,CHEMBL3734753,J Med Chem,CHEMBL3736445,=,=,Ki,nM,117000.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,117.0,CN(C)Cc1ccc(OCc2ccc3ccc(N)nc3c2)cc1.Cl.Cl,-0.7432537023761241,HAQSFXWPRNSFLH,no_wikidata_match
HAUBUNNZVAGIGM-UHFFFAOYSA-N,,CHEMBL700506,CN(C)C1CCCCC1Oc1ccc(-c2cccc(N)n2)c2ccccc12,,CHEMBL1149107,J Med Chem,CHEMBL41343,=,=,IC50,nM,2367.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,nM,2367.0,CN(C)C1CCCCC1Oc1ccc(-c2cccc(N)n2)c2ccccc12,0.0615888364109777,HAUBUNNZVAGIGM,no_wikidata_match
HBFLLVGWKKUSHJ-UHFFFAOYSA-N,,CHEMBL3047051,CC1=C(C)C(=O)N(Cc2ccccc2N)C1=O,,CHEMBL3045031,Med Chem Res,CHEMBL2237485,=,=,Inhibition,%,72.8,CHEMBL3464,"Nitric oxide synthase, inducible",INH,%,72.8,CC1=C(C)C(=O)N(Cc2ccccc2N)C1=O,-0.4329072863564351,HBFLLVGWKKUSHJ,no_wikidata_match
HBLUENCDTVSVQJ-AZUAARDMSA-N,,CHEMBL3110714,Cc1cc(N)nc(CO[C@H]2CN[C@H](COCCOCc3cccc(F)c3)C2)c1,,CHEMBL3108683,ACS Med Chem Lett,CHEMBL3109192,=,=,Ki,nM,5858.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,nM,5858.0,Cc1cc(N)nc(CO[C@H]2CN[C@H](COCCOCc3cccc(F)c3)C2)c1,-0.6293784307438429,HBLUENCDTVSVQJ,no_wikidata_match
HBLUENCDTVSVQJ-UYAOXDASSA-N,,CHEMBL3110714,Cc1cc(N)nc(CO[C@H]2CN[C@@H](COCCOCc3cccc(F)c3)C2)c1,,CHEMBL3108683,ACS Med Chem Lett,CHEMBL3109193,=,=,Ki,nM,8472.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,nM,8472.0,Cc1cc(N)nc(CO[C@H]2CN[C@@H](COCCOCc3cccc(F)c3)C2)c1,-0.6293784307438429,HBLUENCDTVSVQJ,no_wikidata_match
HBNAZXFJYLXHLA-UHFFFAOYSA-N,,CHEMBL848735,CCc1cnc(N)cc1C,,CHEMBL1133138,Bioorg Med Chem Lett,CHEMBL61599,=,=,Selectivity,nM,2.6,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,uM,2.6,CCc1cnc(N)cc1C,0.045831499733,HBNAZXFJYLXHLA,no_wikidata_match
HBYZDCKMGDSFLW-GOSISDBHSA-N,,CHEMBL1918240,Cc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3C[C@@H]2C(=O)O)cc1,,CHEMBL1914395,Bioorg Med Chem,CHEMBL1915392,=,=,Survival,%,102.3,CHEMBL3464,"Nitric oxide synthase, inducible",Survival,%,102.3,Cc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3C[C@@H]2C(=O)O)cc1,-0.842229114388123,HBYZDCKMGDSFLW,no_wikidata_match
HBYZDCKMGDSFLW-SFHVURJKSA-N,,CHEMBL1918240,Cc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C(=O)O)cc1,,CHEMBL1914395,Bioorg Med Chem,CHEMBL1915180,=,=,Survival,%,85.5,CHEMBL3464,"Nitric oxide synthase, inducible",Survival,%,85.5,Cc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C(=O)O)cc1,-0.842229114388123,HBYZDCKMGDSFLW,no_wikidata_match
HCAARWFNNLKBRX-UHFFFAOYSA-N,,CHEMBL840778,Br.Br.CC(=N)Nc1ccc(N(C)C)cc1,,CHEMBL1131040,J Med Chem,CHEMBL544789,>,>,Selectivity,nM,1.5,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,uM,1.5,Br.Br.CC(=N)Nc1ccc(N(C)C)cc1,-0.8605485267215933,HCAARWFNNLKBRX,no_wikidata_match
HCPHDLFJNOIJEE-YUMQZZPRSA-N,,CHEMBL852582,CN(C(=O)[C@@H](N)CCC/N=C(\N)N[N+](=O)[O-])[C@@H](CCN)C(N)=O,Outside typical range,CHEMBL1133106,J Med Chem,CHEMBL101766,=,=,Ratio,nM,142.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,uM,142.0,CN(C(=O)[C@@H](N)CCC/N=C(\N)N[N+](=O)[O-])[C@@H](CCN)C(N)=O,0.392846698801774,HCPHDLFJNOIJEE,no_wikidata_match
HCQKGAYOZHKURE-TVBBQBQJSA-N,,CHEMBL1649018,C[C@H](/C=C/[C@H](C)[C@H](C)CO)[C@H]1CC[C@H]2C3=CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,,CHEMBL1641547,Bioorg Med Chem,CHEMBL1641972,=,=,IC50,nM,12700.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,12.7,C[C@H](/C=C/[C@H](C)[C@H](C)CO)[C@H]1CC[C@H]2C3=CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,2.956268812386889,HCQKGAYOZHKURE,http://www.wikidata.org/entity/Q27138650
HDHLQBIWVMHJAZ-WMQZXYHMSA-N,,CHEMBL1763068,N#Cc1ccc(Cl)cc1S[C@H](CCN)c1ccccc1.O=C(O)/C=C/C(=O)O,,CHEMBL1759901,Bioorg Med Chem Lett,CHEMBL1762474,=,=,Ratio IC50,nM,33.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio IC50,uM,33.0,N#Cc1ccc(Cl)cc1S[C@H](CCN)c1ccccc1.O=C(O)/C=C/C(=O)O,-0.627462616420625,HDHLQBIWVMHJAZ,no_wikidata_match
HDIQZNWJQLPGGS-CMDGGOBGSA-N,,CHEMBL699692,COc1cc(OC)c(/C=C/C(=O)c2ccccc2C(F)(F)F)c(OC)c1,,CHEMBL1135187,Bioorg Med Chem Lett,CHEMBL301688,=,=,Inhibition,%,76.3,CHEMBL3464,"Nitric oxide synthase, inducible",Inhibition,%,76.3,COc1cc(OC)c(/C=C/C(=O)c2ccccc2C(F)(F)F)c(OC)c1,-0.3314944161126345,HDIQZNWJQLPGGS,no_wikidata_match
HDTLSUGSWFASAI-UHFFFAOYSA-N,,CHEMBL3266757,Cc1cc(N)nc(CCc2cccc(C(CN)Cc3cc(C)cc(N)n3)n2)c1,,CHEMBL3259595,J Med Chem,CHEMBL3262023,=,=,Ki,nM,17916.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,nM,17916.0,Cc1cc(N)nc(CCc2cccc(C(CN)Cc3cc(C)cc(N)n3)n2)c1,-0.2718027578427001,HDTLSUGSWFASAI,no_wikidata_match
